"idxlist","fitted_value","pvalue","test_stat"
70,-0.234874322067582,3.9934747158108e-09,-5.88446340974967
139,-0.389162176516579,1.16307212939732e-25,-10.4718820988309
1669,-0.168926104710137,0.000444372648253074,-3.5122243849358
1748,-0.116738725042205,0.059159874904084,-1.88700335123318
2683,-0.249673933936425,1.50629908420453e-09,-6.04368881433258
2869,-0.17837568196514,6.36770791210714e-06,-4.51379730357383
3259,-0.126402065238522,0.0118654432380081,-2.51612101966289
3606,0.121684644480794,0.0093061283288038,2.60059855711029
6115,0.139105042556115,0.000843640221806502,3.33806496509294
7225,0.126356845511535,0.00429700222467107,2.855493353583
